-93	-92	29	-45	-55	-87	-36	39	-88	71	7	-69	52	45
50	-27	85	11	-76	-3	23	68	58	-5	34	7	-29	-49
-61	2	-44	-62	47	-77	33	6	-7	55	-45	99	2	20
52	-97	57	-39	-76	62	24	69	-74	89	-76	1	-46	-27
55	77	42	10	-98	-22	15	-48	26	33	-7	29	-34	78
23	25	-40	16	-63	-12	42	45	-22	20	44	-23	78	-50
-67	14	-9	-58	38	-78	2	99	-87	-92	-34	-29	-7	-31
65	-32	27	91	-46	-13	-71	37	24	-5	34	-92	6	15
-49	23	-52	-9	59	-57	-78	-10	17	-27	44	-34	-62	22
-45	-45	88	-12	-64	1	-60	-35	11	1	-10	52	5	52
-91	61	90	22	82	-9	82	85	10	56	18	4	-18	-92
31	98	47	-12	-60	20	54	-8	92	24	-71	-23	24	91
-12	98	-13	66	72	-14	88	51	75	5	40	-91	91	-94
0	60	-41	6	28	-54	97	56	40	-17	94	-92	-23	-3
